,ARMA,ELM,ARMA+ELM,MLP,ARMA+MLP,ESN,ARMA+ESN,RBF,ARMA+RBF,ACTUAL
2019-02-19 13:00:00,3.6982495856570727,4.454588020105954,4.283378179103418,4.334676,4.103487737207366,4.3621182626603,4.090496910154607,4.350388,4.930648572473479,3.167
2019-02-19 14:00:00,3.2945764612799757,4.4601948485870055,4.03000535117577,3.9132187,3.5954583239203566,3.7464149716175905,3.957119493091844,3.9355614,4.00345879312812,1.364
2019-02-19 15:00:00,2.0870721835355073,3.7910551835249944,2.6584758374993283,2.965166,2.477163602755478,2.680832282546589,2.627911622430829,3.4464722,2.038293172762802,2.139
2019-02-19 16:00:00,2.1192657480588837,3.6541184386123264,2.840343775256721,3.1804383,2.446475697552292,2.744240548993502,2.535177935954355,3.5138485,2.2175342569700165,2.998
2019-02-19 17:00:00,2.8894275586508287,3.8735206298108906,3.4463692537813224,3.4299831,3.0252493779562486,3.1519574044181193,3.529633874876317,3.3652143,2.9687570493124498,2.236
2019-02-19 18:00:00,2.761660518127927,3.628383865826725,3.1486619459252565,3.2654867,2.8261575121464815,3.08162559785416,3.1837772177019983,3.3537595,2.7014841455998506,2.168
2019-02-19 19:00:00,2.76279759822372,3.9759048150503524,3.3602729246052836,3.2839656,2.981574301104579,2.9692161364962333,3.067811813983942,3.5599892,2.9716265243101456,3.125
2019-02-19 20:00:00,3.1116777148578874,3.647399133741071,3.8372762250650436,3.4585128,3.566339084181618,3.219370299801568,3.5388830961303515,3.394731,3.9886942591999284,2.725
2019-02-19 21:00:00,2.9248024327871955,3.5048229332284295,3.4502416210982347,3.3569658,3.192599902879969,3.2431173656901544,3.224274722378768,3.1857936,3.425972591173426,1.125
2019-02-19 22:00:00,1.9947318182483877,2.4073399388529473,2.5023155089918303,2.4522264,2.2692016706958977,2.20821487207106,2.7667677387792953,2.516194,2.6280144796863762,0.0
2019-02-19 23:00:00,0.957014313256364,1.5531667370353812,1.5575986521108875,1.7479739,1.3146283536311199,1.3701078809973117,1.4797183821539717,2.6510653,1.085723152672868,0.001
2019-02-20 00:00:00,0.9286645916050853,1.5874507010324546,1.496185819970389,1.5525904,1.2110675838536205,1.2118644998461723,1.381785137207098,3.1793995,1.7002753284520091,0.002
2019-02-20 01:00:00,1.1745267174557106,1.937590847306559,1.595390438203658,1.6632802,1.315432097704734,1.4520805873077431,1.3582665229058875,3.2585757,1.5030908844784157,1.789
