Data;Hora UTC;VENTO, VELOCIDADE HORARIA (m/s)
01/02/2020;1800 UTC;2
01/02/2020;1900 UTC;1,5
01/02/2020;2000 UTC;2,1
01/02/2020;2100 UTC;1,6
01/02/2020;2200 UTC;,2
01/02/2020;2300 UTC;1
02/02/2020;0000 UTC;,5
02/02/2020;0100 UTC;0
02/02/2020;0200 UTC;1
02/02/2020;0300 UTC;,3
02/02/2020;0400 UTC;,1
02/02/2020;0500 UTC;,5
02/02/2020;0600 UTC;0
02/02/2020;0700 UTC;,4
02/02/2020;0800 UTC;0
02/02/2020;0900 UTC;,2
02/02/2020;1000 UTC;0
02/02/2020;1100 UTC;0
02/02/2020;1200 UTC;1,4
02/02/2020;1300 UTC;,3
02/02/2020;1400 UTC;1,6
02/02/2020;1500 UTC;1,7
02/02/2020;1600 UTC;,7
02/02/2020;1700 UTC;1,7
02/02/2020;1800 UTC;1,5
02/02/2020;1900 UTC;1,4
02/02/2020;2000 UTC;1,3
02/02/2020;2100 UTC;1
02/02/2020;2200 UTC;,7
02/02/2020;2300 UTC;,5
03/02/2020;0000 UTC;,5
03/02/2020;0100 UTC;,1
03/02/2020;0200 UTC;,4
03/02/2020;0300 UTC;,6
03/02/2020;0400 UTC;1,3
03/02/2020;0500 UTC;,1
03/02/2020;0600 UTC;,4
03/02/2020;0700 UTC;,4
03/02/2020;0800 UTC;,9
