Data;Hora UTC;VENTO, VELOCIDADE HORARIA (m/s)
26/01/2020;1100 UTC;4,6
26/01/2020;1200 UTC;4,5
26/01/2020;1300 UTC;4,2
26/01/2020;1400 UTC;4
26/01/2020;1500 UTC;5,7
26/01/2020;1600 UTC;5,1
26/01/2020;1700 UTC;5,1
26/01/2020;1800 UTC;5,5
26/01/2020;1900 UTC;5,9
26/01/2020;2000 UTC;5,2
26/01/2020;2100 UTC;4,5
26/01/2020;2200 UTC;3,3
26/01/2020;2300 UTC;2,2
27/01/2020;0000 UTC;2,3
27/01/2020;0100 UTC;2,2
27/01/2020;0200 UTC;1,6
27/01/2020;0300 UTC;1,5
27/01/2020;0400 UTC;1,6
27/01/2020;0500 UTC;,6
27/01/2020;0600 UTC;,2
27/01/2020;0700 UTC;,6
27/01/2020;0800 UTC;,2
27/01/2020;0900 UTC;,7
27/01/2020;1000 UTC;1,7
27/01/2020;1100 UTC;3,1
27/01/2020;1200 UTC;4,3
27/01/2020;1300 UTC;4,4
27/01/2020;1400 UTC;5,1
27/01/2020;1500 UTC;5,2
27/01/2020;1600 UTC;5,3
27/01/2020;1700 UTC;5,4
27/01/2020;1800 UTC;4,9
27/01/2020;1900 UTC;4,8
27/01/2020;2000 UTC;4
27/01/2020;2100 UTC;3,7
27/01/2020;2200 UTC;3,1
27/01/2020;2300 UTC;2,6
28/01/2020;0000 UTC;2,2
28/01/2020;0100 UTC;2,5
28/01/2020;0200 UTC;1,7
28/01/2020;0300 UTC;1,6
28/01/2020;0400 UTC;1,1
28/01/2020;0500 UTC;,6
28/01/2020;0600 UTC;,4
28/01/2020;0700 UTC;,5
28/01/2020;0800 UTC;,5
28/01/2020;0900 UTC;,5
28/01/2020;1000 UTC;1,2
28/01/2020;1100 UTC;3,6
28/01/2020;1200 UTC;2,8
28/01/2020;1300 UTC;2,8
28/01/2020;1400 UTC;3,7
28/01/2020;1500 UTC;4,8
28/01/2020;1600 UTC;4,7
28/01/2020;1700 UTC;4,9
28/01/2020;1800 UTC;4,9
28/01/2020;1900 UTC;4,8
28/01/2020;2000 UTC;3,7
28/01/2020;2100 UTC;3,9
28/01/2020;2200 UTC;2,3
28/01/2020;2300 UTC;2,9
29/01/2020;0000 UTC;1,8
29/01/2020;0100 UTC;2
29/01/2020;0200 UTC;1,5
29/01/2020;0300 UTC;1,6
29/01/2020;0400 UTC;1,2
29/01/2020;0500 UTC;1
29/01/2020;0600 UTC;1,7
29/01/2020;0700 UTC;,7
29/01/2020;0800 UTC;,5
29/01/2020;0900 UTC;,7
